run_tag,tau,gamma,status,return_code,best_valid_macro_f1,best_valid_loss,test_macro_f1,test_acc,test_mae,test_qwk,trained_epochs,best_epoch,test_loss,test_top1,test_top2,test_balanced_acc,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,dast_tau,dast_gamma,checkpoint_path,summary_path,batch_log_path,loss_name
dast_tune_tau0p5_gamma0,0.5,0.0,success,0,0.9964285714285714,0.6043584379884932,0.9540479158698425,0.955,0.064375,0.9574303405572755,33,18,0.6993535959720611,0.955,0.97375,0.955,0.9540479158698426,0.9581870219597004,0.955,0.9860255208333334,0.9581474433207476,0.5,0.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau0p5_gamma0.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau0p5_gamma0_20260410_113210_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau0p5_gamma0.log,dast
dast_tune_tau0p5_gamma1,0.5,1.0,success,0,0.9946364339559725,0.17206447405947578,0.9493909183148557,0.95,0.06625,0.9592152813629323,42,27,0.3056656327843666,0.95,0.974375,0.9500000000000001,0.9493909183148557,0.954104076068407,0.9500000000000001,0.9841708333333333,0.9484463311118907,0.5,1.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau0p5_gamma1.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau0p5_gamma1_20260410_114855_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau0p5_gamma1.log,dast
dast_tune_tau0p5_gamma1p5,0.5,1.5,success,0,0.9946364339559725,0.09451891854405403,0.9534339763458104,0.954375,0.0625,0.9601449275362319,28,13,0.2036059631407261,0.954375,0.974375,0.954375,0.9534339763458104,0.9581350926398096,0.954375,0.9897921875,0.971288964211471,0.5,1.5,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau0p5_gamma1p5.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau0p5_gamma1p5_20260410_121013_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau0p5_gamma1p5.log,dast
dast_tune_tau0p5_gamma2,0.5,2.0,success,0,0.9928441588366318,0.05114805305169688,0.9460437598664407,0.9475,0.068125,0.95859375,29,14,0.18969792312011122,0.9475,0.961875,0.9475,0.9460437598664406,0.9528871271310779,0.9475,0.9913895833333334,0.9803471003209836,0.5,2.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau0p5_gamma2.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau0p5_gamma2_20260410_122508_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau0p5_gamma2.log,dast
dast_tune_tau1_gamma0,1.0,0.0,success,0,0.9946296894118706,1.0641473995314703,0.9501974404151644,0.95125,0.065,0.9596273291925466,39,24,1.142656341791153,0.95125,0.973125,0.95125,0.9501974404151645,0.9552415598543875,0.95125,0.9832442708333334,0.9484357940244179,1.0,0.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1_gamma0.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1_gamma0_20260410_124019_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau1_gamma0.log,dast
dast_tune_tau1_gamma1,1.0,1.0,success,0,0.9946422420941179,0.5895053280724419,0.9534411662301533,0.954375,0.065625,0.9563758389261745,38,23,0.6336773121356964,0.954375,0.965,0.9543750000000001,0.9534411662301533,0.9576159934869588,0.9543750000000001,0.9856359374999999,0.9670890850507683,1.0,1.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1_gamma1.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1_gamma1_20260410_130032_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau1_gamma1.log,dast
dast_tune_tau1_gamma1p5,1.0,1.5,success,0,0.9928567784070617,0.4266614698701435,0.9526286044335861,0.95375,0.06875,0.9528741584671154,49,34,0.4695036125183105,0.95375,0.97,0.95375,0.9526286044335862,0.957344682170115,0.95375,0.9882906250000001,0.9719592802011509,1.0,1.5,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1_gamma1p5.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1_gamma1p5_20260410_132031_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau1_gamma1p5.log,dast
dast_tune_tau1_gamma2,1.0,2.0,success,0,0.9928567784070617,0.3031279279126061,0.9523479645204256,0.953125,0.066875,0.9558367768595042,39,24,0.3783504047989845,0.953125,0.963125,0.953125,0.9523479645204256,0.9566861445921984,0.953125,0.9813817708333332,0.9534694328830006,1.0,2.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1_gamma2.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1_gamma2_20260410_134609_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau1_gamma2.log,dast
dast_tune_tau1p5_gamma0,1.5,0.0,success,0,0.9928369552004551,1.221314999792311,0.951615581093977,0.9525,0.0675,0.9556701030927836,28,13,1.2443323969841003,0.9525,0.961875,0.9525,0.951615581093977,0.9554570013793002,0.9525,0.9783286458333333,0.939753165978358,1.5,0.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1p5_gamma0.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1p5_gamma0_20260410_140547_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau1p5_gamma0.log,dast
dast_tune_tau1p5_gamma1,1.5,1.0,success,0,0.9928369552004552,0.7918164100911882,0.9507839952592624,0.951875,0.063125,0.9609213250517599,38,23,0.8149902749061585,0.951875,0.97375,0.951875,0.9507839952592625,0.9561480300076791,0.951875,0.9861692708333334,0.9566729284502737,1.5,1.0,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1p5_gamma1.pt,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1p5_gamma1_20260410_141930_summary.csv,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_113207\dast_tune_tau1p5_gamma1.log,dast
